,Date,Open,High,Low,Close,Adj Close,Volume,User,Tweet,Current Ratio ,Long-term Debt / Capital ,Debt/Equity Ratio ,Gross Margin ,Operating Margin ,EBIT Margin ,Pre-Tax Proﬁt Margin ,Net Profit Margin ,Asset Turnover ,Inventory Turnover Ratio ,Receiveable Turnover ,Days Sales In Receivables ,ROE - Return On Equity ,Return On Tangible Equity ,ROA - Return On Assets ,ROI - Return On Investment ,Book Value Per Share ,Operating Cash Flow Per Share ,Free Cash Flow Per Share ,Enterprise Value,PE Ratio,PS Ratio,PB Ratio,Earnings Yield,FCF Yield,Buyback Yield / Dilution,Total Shareholder Return,Market Capitalization
31,07/01/20,216.6,227.07,216.1,223.93,223.93,66634500,vincent13031925,"Tesla $TSLA Market Value Surpasses Exxon’s $XOM, Marking The Rise Of Renewables

https://t.co/37KgUhAQ8U",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
32,07/01/20,216.6,227.07,216.1,223.93,223.93,66634500,TeslaPodcast,"$TSLA Q2 delivery and production estimates are in

Spoiler alert: they went up 🔥🐂🔥 #Tesla

https://t.co/1s5HW4S8Gy https://t.co/hZuwJlGtFT",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
33,07/01/20,216.6,227.07,216.1,223.93,223.93,66634500,vincent13031925,"Tesla $TSLA Stock Split Worth Discussing At Shareholders Meeting 2020, Says @elonmusk 

Thanks for the consideration Elon!! I am very looking forward to the stock split!
https://t.co/WPhgpTv83K",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
34,07/01/20,216.6,227.07,216.1,223.93,223.93,66634500,BLKMDL3,No demand? Ya right. Is that why there’s a line out the door with people trying to take delivery? $TSLA @elonmusk @WholeMarsBlog @tesla https://t.co/qxicoSPL5S,1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
35,07/02/20,244.3,245.6,237.12,241.73,241.73,86250500,LynAldenContact,"Tesla $TSLA sold fewer than 400,000 cars in 2019, while Toyata $TM sold over 10 million cars in 2019. 

But, Tesla now has a bigger market cap: https://t.co/BdcOhTtClk",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
36,07/02/20,244.3,245.6,237.12,241.73,241.73,86250500,pickeringenergy,"$TSLA now the world's largest car company. Owned a Tesla in 2013, loved the vehicle. Bought the stock at $30. Sold at $60.  Shorted at $90, covered at $120. I am an idiot.",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
37,07/02/20,244.3,245.6,237.12,241.73,241.73,86250500,WSBConsensus,Tesla ( $TSLA ) short-sellers are getting DESTROYED rn https://t.co/uLAL2ODFCg https://t.co/UkqGVcsLLy,1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
38,07/02/20,244.3,245.6,237.12,241.73,241.73,86250500,ray4tesla,"While TSLA is at all time high of $1200, my Twitter follower base is inching closer to 5000, which will be a milestone for me. Deep gratitude to all followers for reading my tweets and engaging in comments/discussions. Will keep sharing @Tesla &amp; @teslacn related news.",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
39,07/02/20,244.3,245.6,237.12,241.73,241.73,86250500,p_ferragu,"$TSLA delivers 91k cars in 2Q, 35% above consensus expectations. Is that a testimony to Tesla’s greatness or to sell-side analysts’ hopelessness? Unbelievable. This stock is much better understood by retail investors than sell-side analysts.",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
40,07/02/20,244.3,245.6,237.12,241.73,241.73,86250500,GerberKawasaki,So what should happen to the analyst who downgraded Tesla to $10 at the low last year. He works at Morgan Stanley. And his name is Adam.  $tsla,1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
41,07/02/20,244.3,245.6,237.12,241.73,241.73,86250500,GerberKawasaki,Tesla up $102 to $1220. Time for #coffee @dougboneparth $tsla,1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
42,07/02/20,244.3,245.6,237.12,241.73,241.73,86250500,GerberKawasaki,It was this time. With these very smart people. That I knew I was right... #tesla ⁦@munster_gene⁩ ⁦@Gfilche⁩ $tsla https://t.co/G1JqTEa8rq,1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
43,07/02/20,244.3,245.6,237.12,241.73,241.73,86250500,vincent13031925,"Cheers to all @Tesla team &amp; #Tesla 🐮🐮🐮🐮🐮

This is absolutely a “Victory” quarter!! 

And thanks for liking all my “toxic” BS everyday 😂😂

Now it’s time...

Good Morning $TSLA 🐮🐮🐮🐮 https://t.co/NU03SigW6c",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
44,07/02/20,244.3,245.6,237.12,241.73,241.73,86250500,TeslaPodcast,"Tesla's deliveries in the first half of 2020 totaled 179,146 vehicles, up 13% from the first half of 2019 despite COVID-19 impacts. $TSLA",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
45,07/02/20,244.3,245.6,237.12,241.73,241.73,86250500,vincent13031925,"Tesla ( $TSLA ) Achieved Victory In Q2 2020 With 90,650 Deliveries

Amazing quarter @elonmusk &amp; Team @Tesla ✊🏻✊🏻🍻💯, this number is absolutely incredible!! GOOD JOB💪🏻

Congrats to all #Tesla 🐮🐮🐮🐮 as well 🤜🏻🤛🏻
https://t.co/zEsuqeONOe",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
46,07/02/20,244.3,245.6,237.12,241.73,241.73,86250500,GerberKawasaki,The worst part is we didn’t even get our Tesla 420 party. Tesla 1200 zoom party ? Should we do it? Will @elonmusk participate? Promise to do it right. Live music.  Tesla celebrities...  live on zoom. We really deserve it... $tsla,1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
47,07/02/20,244.3,245.6,237.12,241.73,241.73,86250500,vincent13031925,"Tesla Is Entering Biomedical Field With CureVac In Germany, Hints @ElonMusk

$TSLA  https://t.co/5NGL9kra54",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
48,07/02/20,244.3,245.6,237.12,241.73,241.73,86250500,GerberKawasaki,And the numbers are insanely good. Amazing execution @elonmusk and @Tesla !!!!! 90k cars delivered. 5% were leases. That means they made a profit.  So proud of the team at Tesla. Congratulations. $tsla https://t.co/orAG7HSAH6,1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
49,07/02/20,244.3,245.6,237.12,241.73,241.73,86250500,Stocktwits,"Tesla is up another 9% pre-market. 
 
$TSLA lol https://t.co/hW3xV9iqjU",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
50,07/02/20,244.3,245.6,237.12,241.73,241.73,86250500,TheStreet,"Breaking - Tesla $TSLA delivers 90,650 vehicles in the second quarter",1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44,205690,543.93,7.79,20.31,0.05%,0.20%,-4.86%,-4.86%,"2,00,166"
